alpha,beta
1.0,[0.31685264]
1.028056112224449,[0.30692011]
1.0561122244488979,[0.30606125]
1.0841683366733468,[0.31613375]
1.1122244488977957,[0.3034313]
1.1402805611222444,[0.31579981]
1.1683366733466933,[0.3106954]
1.1963927855711423,[0.30411833]
1.2244488977955912,[0.30831273]
1.25250501002004,[0.30244321]
1.280561122244489,[0.30594491]
1.308617234468938,[0.29277724]
1.3366733466933867,[0.29761594]
1.3647294589178358,[0.29473232]
1.3927855711422845,[0.29695178]
1.4208416833667334,[0.29769022]
1.4488977955911824,[0.28905084]
1.4769539078156313,[0.29541773]
1.5050100200400802,[0.28609823]
1.533066132264529,[0.29434356]
1.561122244488978,[0.2941471]
1.5891783567134268,[0.29586576]
1.6172344689378757,[0.28858148]
1.6452905811623246,[0.29013874]
1.6733466933867736,[0.2855924]
1.7014028056112225,[0.28207934]
1.7294589178356714,[0.29563697]
1.7575150300601203,[0.29124361]
1.785571142284569,[0.29413741]
1.8136272545090182,[0.27870334]
1.8416833667334669,[0.27595005]
1.8697394789579158,[0.29400849]
1.8977955911823647,[0.2829635]
1.9258517034068137,[0.28262888]
1.9539078156312626,[0.28585255]
1.9819639278557113,[0.29454786]
2.0100200400801604,[0.28894633]
2.038076152304609,[0.27618423]
2.066132264529058,[0.28641416]
2.094188376753507,[0.26930418]
2.122244488977956,[0.27793674]
2.150300601202405,[0.2790319]
2.1783567134268536,[0.28214101]
2.2064128256513027,[0.28576619]
2.2344689378757514,[0.26750785]
2.2625250501002006,[0.28737739]
2.2905811623246493,[0.27453602]
2.318637274549098,[0.28518344]
2.346693386773547,[0.28040186]
2.3747494989979963,[0.28335398]
2.402805611222445,[0.27451622]
2.4308617234468937,[0.2715118]
2.458917835671343,[0.27682306]
2.4869739478957915,[0.27537385]
2.5150300601202407,[0.28315031]
2.5430861723446894,[0.27360303]
2.571142284569138,[0.2711349]
2.599198396793587,[0.26918678]
2.6272545090180364,[0.26886682]
2.655310621242485,[0.26917089]
2.6833667334669338,[0.25232771]
2.7114228456913825,[0.27273714]
2.7394789579158316,[0.27025443]
2.7675350701402808,[0.27085862]
2.7955911823647295,[0.26144274]
2.823647294589178,[0.2739683]
2.8517034068136273,[0.25906134]
2.8797595190380765,[0.25836346]
2.907815631262525,[0.25271508]
